period,quarter,days_in_period,start,end,outerjoin
2027-12,4,28,8/30/2027,9/26/2027,1
2027-11,4,28,8/2/2027,8/29/2027,1
2027-10,4,35,6/28/2027,8/1/2027,1
2027-09,3,28,5/31/2027,6/27/2027,1
2027-08,3,28,5/3/2027,5/30/2027,1
2027-07,3,35,3/29/2027,5/2/2027,1
2027-06,2,28,3/1/2027,3/28/2027,1
2027-05,2,28,2/1/2027,2/28/2027,1
2027-04,2,35,12/28/2026,1/31/2027,1
2027-03,1,28,11/30/2026,12/27/2026,1
2027-02,1,28,11/2/2026,11/29/2026,1
2027-01,1,35,9/28/2026,11/1/2026,1
2026-12,4,28,8/31/2026,9/27/2026,1
2026-11,4,28,8/3/2026,8/30/2026,1
2026-10,4,35,6/29/2026,8/2/2026,1
2026-09,3,28,6/1/2026,6/28/2026,1
2026-08,3,28,5/4/2026,5/31/2026,1
2026-07,3,35,3/30/2026,5/3/2026,1
2026-06,2,28,3/2/2026,3/29/2026,1
2026-05,2,28,2/2/2026,3/1/2026,1
2026-04,2,35,12/29/2025,2/1/2026,1
2026-03,1,28,12/1/2025,12/28/2025,1
2026-02,1,28,11/3/2025,11/30/2025,1
2026-01,1,35,9/29/2025,11/2/2025,1
2025-12,4,28,9/1/2025,9/28/2025,1
2025-11,4,28,8/4/2025,8/31/2025,1
2025-10,4,35,6/30/2025,8/3/2025,1
2025-09,3,28,6/2/2025,6/29/2025,1
2025-08,3,28,5/5/2025,6/1/2025,1
2025-07,3,35,3/31/2025,5/4/2025,1
2025-06,2,28,3/3/2025,3/30/2025,1
2025-05,2,28,2/3/2025,3/2/2025,1
2025-04,2,35,12/30/2024,2/2/2025,1
2025-03,1,28,12/2/2024,12/29/2024,1
2025-02,1,28,11/4/2024,12/1/2024,1
2025-01,1,35,9/30/2024,11/3/2024,1
